ID_TEXT,ID_TEXT,CIUDAD,REGION,TIPO,UNIVERSIDAD_EVALUADA_NACIONAL,PRESTIGIO DE LA INSTITUCIÓN,NIVEL ACADÉMICO,OFERTA ACADÉMICA (CARRERAS OFERTADAS),PROFESORES
Entrevistado_1,Entrevistado_1,AGUASCALIENTES,BAJIO,Primera mención,UVM,10,8,2,6
Entrevistado_2,Entrevistado_2,MORELIA,BAJIO,Primera mención,OTRAS,7,8,8,8
Entrevistado_3,Entrevistado_3,MONTERREY,NORTE,Primera mención,ITESM,10,5,5,8
Entrevistado_4,Entrevistado_4,GUADALAJARA,BAJIO,Primera mención,OTRAS,8,6,6,9
Entrevistado_5,Entrevistado_5,CANCÚN,SUR,Primera mención,OTRAS,9,9,7.8,4
Entrevistado_6,Entrevistado_6,TEPIC,OCCIDENTE,Primera mención,OTRAS,8,5,8,8
Entrevistado_7,Entrevistado_7,GUADALAJARA,BAJIO,Primera mención,OTRAS,8.4,9,2,7
Entrevistado_8,Entrevistado_8,TEPIC,OCCIDENTE,Primera mención,OTRAS,9,10,6,7
Entrevistado_9,Entrevistado_9,TUXTLA GUTIÉRREZ,SUR,Primera mención,OTRAS,8,8,4,8
Entrevistado_10,Entrevistado_10,AGUASCALIENTES,BAJIO,Primera mención,ITESM,10,7,9,10
Entrevistado_11,Entrevistado_11,GUADALAJARA,BAJIO,Primera mención,OTRAS,10,8,1,8
Entrevistado_12,Entrevistado_12,TUXTLA GUTIÉRREZ,SUR,Primera mención,OTRAS,8.4,8,7.8,8
Entrevistado_13,Entrevistado_13,GUADALAJARA,BAJIO,Primera mención,OTRAS,9,8,7.8,10
Entrevistado_14,Entrevistado_14,HERMOSILLO,OCCIDENTE,Primera mención,UVM,6,8,4,8
Entrevistado_15,Entrevistado_15,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,8.4,5,7.8,7
Entrevistado_16,Entrevistado_16,MEXICALI,OCCIDENTE,Primera mención,OTRAS,5,8,6,10
Entrevistado_17,Entrevistado_17,TIJUANA,OCCIDENTE,Primera mención,OTRAS,8.4,9,7.8,10
Entrevistado_18,Entrevistado_18,TEPIC,OCCIDENTE,Primera mención,OTRAS,8.4,8,6,2
Entrevistado_19,Entrevistado_19,GUADALAJARA,BAJIO,Primera mención,OTRAS,9,9,10,8
Entrevistado_20,Entrevistado_20,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,8.4,8,5,8
Entrevistado_21,Entrevistado_21,LEÓN,BAJIO,Primera mención,ITESM,10,8,8,8
Entrevistado_22,Entrevistado_22,GUADALAJARA,BAJIO,Primera mención,OTRAS,8.4,4,5,8
Entrevistado_23,Entrevistado_23,MONTERREY,NORTE,Primera mención,OTRAS,8,6,10,8
Entrevistado_24,Entrevistado_24,HERMOSILLO,OCCIDENTE,Primera mención,OTRAS,8,10,7.8,5
Entrevistado_25,Entrevistado_25,GUADALAJARA,BAJIO,Primera mención,OTRAS,10,7,10,8
Entrevistado_26,Entrevistado_26,GUADALAJARA,BAJIO,Primera mención,OTRAS,9,10,7.8,8
Entrevistado_27,Entrevistado_27,AGUASCALIENTES,BAJIO,Primera mención,OTRAS,10,8,7.8,8
Entrevistado_28,Entrevistado_28,PUEBLA,CENTRO,Primera mención,OTRAS,10,8,2,8
Entrevistado_29,Entrevistado_29,VILLAHERMOSA,SUR,Primera mención,OTRAS,10,7,7.8,8
Entrevistado_30,Entrevistado_30,MONTERREY,NORTE,Primera mención,OTRAS,10,9,7,10
Entrevistado_31,Entrevistado_31,LA PAZ,OCCIDENTE,Primera mención,OTRAS,8.4,7,7.8,8
Entrevistado_32,Entrevistado_32,COATZACOALCOS,SUR,Primera mención,OTRAS,8,10,7.8,8
Entrevistado_33,Entrevistado_33,MORELIA,BAJIO,Primera mención,OTRAS,8,7,10,8
Entrevistado_34,Entrevistado_34,PUEBLA,CENTRO,Primera mención,OTRAS,10,10,10,8
Entrevistado_35,Entrevistado_35,CULIACÁN,OCCIDENTE,Primera mención,OTRAS,8,10,7.8,1
Entrevistado_36,Entrevistado_36,CIUDAD DE MÉXICO,CENTRO,Primera mención,OTRAS,10,8,6,8
Entrevistado_37,Entrevistado_37,MEXICALI,OCCIDENTE,Primera mención,OTRAS,8.4,6,7.8,10
